name,Z,A,M15Z0,M15Z1e-2,M15Z1e-1,M15Z1,M20Z0,M20Z1e-2,M20Z1e-1,M20Z1,M25Z0,M25Z1e-2,M25Z1e-1,M25Z1,M30Z0,M30Z1e-2,M30Z1e-1,M30Z1,M40Z0,M40Z1e-2,M40Z1e-1,M40Z1,M60Z0,M60Z1e-2,M60Z1e-1,M60Z1
ti49,22,49,1.81255E-05,7.93517E-06,2.09790E-05,8.90964E-06,9.35430E-06,8.88716E-06,1.64586E-05,3.17716E-05,2.08213E-05,1.97798E-05,2.56194E-05,2.87828E-05,1.80792E-05,2.36820E-05,2.14972E-05,4.96724E-05,2.85052E-05,3.63316E-05,3.32207E-05,5.96440E-05,5.51148E-05,5.05513E-05,6.75276E-05,8.54140E-05
ti50,22,50,1.84501E-10,4.51827E-09,4.04359E-07,7.19922E-08,9.57949E-10,6.69706E-09,6.27167E-09,1.31730E-07,1.02334E-08,2.68228E-08,2.84092E-08,7.90710E-08,1.16320E-09,3.45983E-08,1.37405E-08,3.75211E-07,4.45137E-09,2.49418E-11,2.69535E-08,3.12115E-07,6.12103E-08,3.14298E-08,2.73532E-08,7.87128E-07
v50,23,50,1.42969E-09,6.91155E-09,6.98090E-08,4.32809E-07,9.64075E-10,1.07809E-08,1.01411E-08,6.97198E-07,7.61083E-08,1.06847E-08,2.71769E-08,1.26290E-07,3.13378E-09,5.73298E-08,2.61701E-08,3.95861E-07,3.24100E-08,2.86862E-08,6.22796E-08,5.74196E-07,1.87084E-07,1.07566E-07,3.48307E-07,2.61317E-06
v51,23,51,3.06005E-05,2.90151E-05,4.59799E-05,2.46812E-05,3.01896E-05,2.51308E-05,3.75846E-05,7.52287E-05,4.75408E-05,3.33055E-05,4.09389E-05,2.48829E-05,4.19017E-05,3.11887E-05,2.75663E-05,4.37453E-05,5.24498E-05,6.45811E-05,6.64394E-05,7.59489E-05,1.24213E-04,1.05734E-04,9.94089E-05,9.77551E-05
cr50,24,50,8.69163E-05,2.25431E-04,1.56205E-04,9.39864E-05,1.80466E-04,9.96053E-05,3.29494E-04,3.90881E-04,1.71253E-04,2.23713E-04,2.42121E-04,8.77152E-05,1.41448E-04,5.23547E-05,1.20738E-04,1.66058E-04,1.75228E-04,7.26040E-04,1.26907E-04,1.11705E-04,1.03143E-03,1.06338E-03,1.01385E-03,2.36730E-04
cr52,24,52,1.09539E-03,1.56688E-03,1.32984E-03,1.28039E-03,1.97348E-03,1.97106E-03,1.80001E-03,1.91519E-03,4.03900E-03,1.50728E-03,2.38206E-03,1.52160E-03,3.08160E-03,2.67433E-03,1.53389E-03,1.85567E-03,3.64404E-03,3.20755E-03,7.46636E-03,4.19575E-03,1.06542E-02,1.22518E-02,8.24606E-03,8.60385E-03
cr53,24,53,2.29997E-05,3.30830E-05,2.87447E-05,2.32240E-05,3.81332E-05,3.46477E-05,4.29656E-05,3.73911E-05,6.11367E-05,3.08587E-05,4.88852E-05,2.68535E-05,5.11768E-05,3.88539E-05,3.42913E-05,3.50226E-05,6.38952E-05,7.90820E-05,9.81090E-05,5.98231E-05,1.34880E-04,1.55474E-04,1.28928E-04,1.18089E-04
cr54,24,54,2.38376E-08,1.22486E-07,1.93254E-07,5.19697E-07,8.05915E-08,3.30974E-08,4.21609E-07,3.13230E-06,1.08084E-07,9.66875E-08,1.64881E-07,2.58500E-07,3.30000E-08,2.50414E-08,9.84834E-08,1.19989E-06,1.00748E-07,3.68348E-07,1.15297E-07,1.12232E-06,3.82733E-07,5.15007E-07,1.13957E-06,3.19584E-06
mn55,25,55,6.48090E-04,9.10734E-04,8.04271E-04,7.96502E-04,1.04766E-03,1.02327E-03,1.15837E-03,1.18923E-03,1.53174E-03,8.24371E-04,1.23494E-03,9.25810E-04,1.36106E-03,9.61623E-04,7.86761E-04,1.16073E-03,1.50472E-03,1.97493E-03,2.54701E-03,1.76257E-03,3.25735E-03,3.77695E-03,2.95503E-03,3.21935E-03
,,,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
fe54,26,54,5.39100E-03,1.28102E-02,8.71265E-03,7.28639E-03,1.09110E-02,8.13050E-03,1.32271E-02,9.02833E-03,1.17055E-02,7.78699E-03,9.95295E-03,7.08772E-03,1.14815E-02,4.84659E-03,6.31510E-03,8.79456E-03,1.12132E-02,3.75990E-02,1.31190E-02,9.71181E-03,3.05526E-02,7.22823E-02,4.30714E-02,2.08225E-02
